* primer sequences are manufactured specifically for use with the Ion AmpliSeq Kits and contain proprietary modifications.
384Well_PlateID,384Well_Row,384Well_Col,Amplicon_ID,Ion_AmpliSeq_Fwd_Primer*,Ion_AmpliSeq_Rev_Primer*
Pool1_02,C,7,7173184278,.,.
Pool1_02,C,8,7173178182,.,.
Pool1_02,C,9,7173178296,.,.
Pool1_02,C,10,7172470987,.,.
Pool1_02,C,11,7173184286,.,.
Pool1_02,C,12,7170610451,.,.
Pool1_02,C,13,7173178327,.,.
Pool1_02,C,14,7170251230,.,.
Pool1_02,C,15,7171141603,.,.
Pool1_02,C,16,7171161358,.,.
Pool1_02,C,17,7173178260,.,.
Pool1_02,C,18,7173178326,.,.
Pool1_02,C,19,7171583399,.,.
Pool1_02,C,20,7173178455,.,.
Pool1_02,C,21,7173178293,.,.
Pool1_02,C,22,7173178208,.,.
Pool1_02,C,23,7170676466,.,.
Pool1_02,C,24,7173184244,.,.
Pool1_02,D,1,Blank,.,.
Pool1_02,D,2,Blank,.,.
Pool1_02,D,3,Blank,.,.
Pool1_02,D,4,Blank,.,.
Pool1_02,D,5,Blank,.,.
Pool1_02,D,6,Blank,.,.
Pool1_02,D,7,Blank,.,.
Pool1_02,D,8,Blank,.,.
Pool1_02,D,9,Blank,.,.
Pool1_02,D,10,Blank,.,.
Pool1_02,D,11,Blank,.,.
Pool1_02,D,12,Blank,.,.
Pool1_02,D,13,Blank,.,.
Pool1_02,D,14,Blank,.,.
Pool1_02,D,15,Blank,.,.
Pool1_02,D,16,Blank,.,.
Pool1_02,D,17,Blank,.,.
Pool1_02,D,18,Blank,.,.
Pool1_02,D,19,Blank,.,.
Pool1_02,D,20,Blank,.,.
Pool1_02,D,21,Blank,.,.
Pool1_02,D,22,Blank,.,.
Pool1_02,D,23,Blank,.,.
Pool1_02,D,24,Blank,.,.
Pool1_02,E,1,7173178304,.,.
Pool1_02,E,2,7170121106,.,.
Pool1_02,E,3,SP_253.6321,.,.
Pool1_02,E,4,7173178277,.,.
Pool1_02,E,5,7173178269,.,.
Pool1_02,E,6,7173184261,.,.
